---------------------------------------------------------------------------------------------------
Date: 7/18/2025 -- 09:42:14 (uptime: 0d, 00h 00m 03s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 4
decoder.bytes                                                | Total                     | 264
decoder.ipv4                                                 | Total                     | 2
decoder.ipv6                                                 | Total                     | 2
decoder.null                                                 | Total                     | 4
decoder.tcp                                                  | Total                     | 4
tcp.syn                                                      | Total                     | 2
tcp.rst                                                      | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 66
decoder.max_pkt_size                                         | Total                     | 88
flow.total                                                   | Total                     | 2
flow.tcp                                                     | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
tcp.invalid_checksum                                         | Total                     | 4
detect.alert                                                 | Total                     | 6
flow.end.state.new                                           | Total                     | 2
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 1
flow.mgr.flows_notimeout                                     | Total                     | 1
memcap.pressure                                              | Total                     | 9
memcap.pressure_max                                          | Total                     | 9
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 2
flow.recycler.queue_max                                      | Total                     | 2
tcp.memuse                                                   | Total                     | 6225920
tcp.reassembly_memuse                                        | Total                     | 1146880
http.byterange.memuse                                        | Total                     | 208768
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 684288
ippair.memcap                                                | Total                     | 684288
host.memuse                                                  | Total                     | 668288
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 11588608
